Start at 03:50:12
Epoch [1/20], Loss: 1.6841, Accuracy: 0.3249
Epoch [18/20], Loss: 0.2195, Accuracy: 0.9242
Accuracy of class angry : 90.65%
Accuracy of class disgust : 91.74%
Accuracy of class fear : 89.55%
Accuracy of class happy : 95.95%
Accuracy of class neutral : 91.78%
Accuracy of class sad : 90.68%
Accuracy of class surprise : 94.07%
Epoch [19/20], Loss: 0.2066, Accuracy: 0.9298
Accuracy of class angry : 91.27%
Accuracy of class disgust : 90.14%
Accuracy of class fear : 90.11%
Accuracy of class happy : 96.38%
Accuracy of class neutral : 92.08%
Accuracy of class sad : 91.92%
Accuracy of class surprise : 94.51%
Epoch [20/20], Loss: 0.1967, Accuracy: 0.9332
Accuracy of class angry : 91.60%
Accuracy of class disgust : 91.74%
Accuracy of class fear : 90.24%
Accuracy of class happy : 96.85%
Accuracy of class neutral : 92.79%
Accuracy of class sad : 91.86%
Accuracy of class surprise : 94.70%
End at 04:24:10
