Start at 04:33:21
Epoch [1/20], Loss: 1.8783, Accuracy: 0.2336
Accuracy of class happy : 81.84%
Accuracy of class neutral : 61.68%
Accuracy of class sad : 54.46%
Accuracy of class surprise : 74.57%
Epoch [17/20], Loss: 0.9120, Accuracy: 0.6676
Accuracy of class angry : 58.95%
Accuracy of class disgust : 47.25%
Accuracy of class fear : 48.57%
Accuracy of class happy : 83.48%
Accuracy of class neutral : 66.32%
Accuracy of class sad : 58.77%
Accuracy of class surprise : 77.63%
Epoch [18/20], Loss: 0.7980, Accuracy: 0.7133
Accuracy of class angry : 65.40%
Accuracy of class disgust : 58.03%
Accuracy of class fear : 55.63%
Accuracy of class happy : 86.55%
Accuracy of class neutral : 70.67%
Accuracy of class sad : 62.35%
Accuracy of class surprise : 80.95%
Epoch [19/20], Loss: 0.6686, Accuracy: 0.7612
Accuracy of class angry : 71.69%
Accuracy of class disgust : 65.14%
Accuracy of class fear : 64.68%
Accuracy of class happy : 88.04%
Accuracy of class neutral : 75.30%
Accuracy of class sad : 68.30%
Accuracy of class surprise : 84.04%
Epoch [20/20], Loss: 0.5884, Accuracy: 0.7908
Accuracy of class angry : 75.63%
Accuracy of class disgust : 65.60%
Accuracy of class fear : 68.10%
Accuracy of class happy : 89.67%
Accuracy of class neutral : 78.51%
Accuracy of class sad : 72.71%
Accuracy of class surprise : 85.99%
End at 10:09:58
